"Survived","Pclass","Sex","SibSp","Parch","Fare","AgeGroup"
"0","3","male",1,0,7.25,"Adult"
"1","1","female",1,0,71.2833,"Adult"
"1","3","female",0,0,7.925,"Adult"
"1","1","female",1,0,53.1,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","1","male",0,0,51.8625,"Adult"
"0","3","male",3,1,21.075,"Child"
"1","3","female",0,2,11.1333,"Adult"
"1","2","female",1,0,30.0708,"Teen"
"1","3","female",1,1,16.7,"Child"
"1","1","female",0,0,26.55,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",1,5,31.275,"Adult"
"0","3","female",0,0,7.8542,"Teen"
"1","2","female",0,0,16,"Adult"
"0","3","male",4,1,29.125,"Child"
"0","3","female",1,0,18,"Adult"
"0","2","male",0,0,26,"Adult"
"1","2","male",0,0,13,"Adult"
"1","3","female",0,0,8.0292,"Teen"
"1","1","male",0,0,35.5,"Adult"
"0","3","female",3,1,21.075,"Child"
"1","3","female",1,5,31.3875,"Adult"
"0","1","male",3,2,263,"Adult"
"0","1","male",0,0,27.7208,"Adult"
"0","2","male",0,0,10.5,"Senior"
"0","1","male",1,0,82.1708,"Adult"
"0","1","male",1,0,52,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","female",2,0,18,"Teen"
"1","3","female",1,0,11.2417,"Teen"
"0","3","female",1,0,9.475,"Adult"
"0","2","female",1,0,21,"Adult"
"1","2","female",1,2,41.5792,"Child"
"1","3","female",0,0,7.8792,"Adult"
"0","3","female",1,0,17.8,"Teen"
"0","3","male",4,1,39.6875,"Child"
"0","3","male",0,0,7.8,"Adult"
"1","1","female",1,0,76.7292,"Adult"
"1","2","female",1,0,26,"Adult"
"0","1","male",0,1,61.9792,"Senior"
"1","2","female",0,0,10.5,"Adult"
"0","3","male",0,0,7.2292,"Adult"
"1","2","female",1,2,27.75,"Child"
"0","3","male",5,2,46.9,"Child"
"0","3","male",0,0,7.2292,"Adult"
"1","1","female",0,0,80,"Adult"
"0","1","male",1,0,83.475,"Adult"
"0","3","male",3,2,27.9,"Child"
"1","2","female",0,0,10.5,"Adult"
"0","3","male",0,0,8.1583,"Adult"
"1","3","female",4,2,7.925,"Teen"
"0","3","male",2,0,8.6625,"Adult"
"0","2","male",0,0,10.5,"Adult"
"0","3","female",5,2,46.9,"Teen"
"0","2","male",0,0,73.5,"Adult"
"0","3","male",1,0,14.4542,"Adult"
"1","3","male",0,0,56.4958,"Adult"
"0","3","male",0,0,7.65,"Adult"
"1","2","male",0,2,29,"Child"
"1","3","female",0,0,12.475,"Adult"
"0","3","male",0,0,9,"Adult"
"1","3","male",0,0,9.5,"Adult"
"0","1","male",0,0,47.1,"Adult"
"1","2","female",0,0,10.5,"Teen"
"1","3","female",3,0,15.85,"Adult"
"0","3","male",1,3,34.375,"Teen"
"1","1","female",3,2,263,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",0,0,7.8542,"Adult"
"0","1","male",1,0,61.175,"Adult"
"0","3","male",1,2,20.575,"Adult"
"0","3","male",0,0,7.25,"Adult"
"0","1","male",0,0,34.6542,"Senior"
"1","1","male",0,1,63.3583,"Adult"
"1","2","female",0,1,23,"Adult"
"0","2","male",1,0,26,"Adult"
"0","3","female",0,0,7.8958,"Adult"
"0","1","male",0,1,77.2875,"Adult"
"0","3","male",0,0,8.6542,"Adult"
"0","3","male",2,0,7.925,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","3","female",0,0,7.65,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","1","male",0,0,52,"Adult"
"0","3","female",1,0,14.4542,"Teen"
"0","3","male",0,0,8.05,"Adult"
"0","3","female",1,0,9.825,"Adult"
"0","3","female",0,0,14.4583,"Teen"
"0","3","male",0,0,7.925,"Adult"
"0","3","male",0,0,7.75,"Senior"
"0","2","male",1,0,21,"Adult"
"0","1","male",0,1,247.5208,"Adult"
"0","3","female",4,2,31.275,"Child"
"0","2","male",2,0,73.5,"Adult"
"0","2","male",1,0,30.0708,"Adult"
"1","2","female",0,0,13,"Adult"
"0","1","male",0,1,77.2875,"Adult"
"1","3","male",1,0,11.2417,"Child"
"1","3","male",0,0,7.1417,"Adult"
"0","3","male",0,0,6.975,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","3","male",0,0,7.05,"Adult"
"0","3","female",1,0,14.5,"Adult"
"1","2","female",1,0,26,"Adult"
"0","2","male",0,0,13,"Adult"
"0","2","male",0,0,15.0458,"Adult"
"1","1","female",0,2,26.2833,"Adult"
"0","1","male",1,0,53.1,"Adult"
"0","3","male",0,0,9.2167,"Teen"
"0","1","male",0,0,79.2,"Adult"
"1","3","female",0,0,7.75,"Adult"
"1","3","female",1,0,15.85,"Adult"
"0","3","male",0,0,6.75,"Adult"
"0","2","male",0,0,11.5,"Teen"
"0","2","male",1,1,36.75,"Adult"
"1","3","male",0,0,7.7958,"Adult"
"0","3","female",2,2,34.375,"Child"
"0","2","male",0,2,26,"Adult"
"0","2","male",0,0,13,"Adult"
"0","2","male",0,0,12.525,"Adult"
"1","1","female",1,0,66.6,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",0,2,14.5,"Adult"
"0","1","male",0,1,61.3792,"Adult"
"1","3","female",0,0,7.7333,"Teen"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",0,1,16.1,"Adult"
"1","2","female",0,0,15.75,"Adult"
"0","3","male",0,0,7.775,"Adult"
"0","3","male",0,0,8.6625,"Teen"
"0","3","male",4,1,39.6875,"Child"
"1","3","male",0,2,20.525,"Child"
"0","3","female",1,4,27.9,"Adult"
"0","3","male",0,0,56.4958,"Adult"
"0","1","male",0,0,33.5,"Senior"
"0","3","male",4,1,29.125,"Child"
"1","3","female",1,1,11.1333,"Child"
"0","3","male",0,0,7.925,"Adult"
"0","1","male",0,0,30.6958,"Adult"
"0","3","male",1,1,7.8542,"Teen"
"0","1","female",0,0,28.7125,"Adult"
"0","2","male",0,0,13,"Adult"
"0","3","male",0,0,0,"Adult"
"0","3","male",4,2,31.3875,"Child"
"1","2","male",2,1,39,"Child"
"1","3","female",0,2,22.025,"Child"
"1","1","male",0,0,26.55,"Adult"
"0","3","male",1,1,15.5,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","2","female",0,0,13,"Adult"
"0","2","male",0,0,13,"Adult"
"1","3","female",1,0,7.8542,"Adult"
"1","2","male",1,1,26,"Child"
"1","1","female",0,0,27.7208,"Adult"
"1","1","female",0,0,146.5208,"Adult"
"0","3","male",0,1,8.4042,"Adult"
"0","2","female",0,0,13,"Adult"
"0","3","male",0,0,9.5,"Adult"
"0","3","male",0,0,6.4958,"Adult"
"0","3","male",0,0,7.225,"Adult"
"1","3","male",0,0,8.05,"Teen"
"0","3","female",0,1,10.4625,"Child"
"0","3","male",1,0,15.85,"Adult"
"1","3","male",0,0,18.7875,"Adult"
"1","3","female",0,0,7.75,"Teen"
"1","1","male",0,0,31,"Adult"
"0","3","male",0,0,7.05,"Adult"
"1","2","female",0,0,21,"Adult"
"0","3","male",0,0,7.25,"Adult"
"0","2","male",0,0,13,"Adult"
"1","1","female",1,0,113.275,"Adult"
"1","3","female",0,0,7.925,"Adult"
"0","2","male",1,0,27,"Adult"
"1","1","female",0,0,76.2917,"Adult"
"0","2","male",0,0,10.5,"Adult"
"1","3","male",0,0,8.05,"Teen"
"0","2","male",0,0,13,"Adult"
"0","3","male",0,0,8.05,"Adult"
"1","1","male",1,0,90,"Adult"
"0","3","male",0,0,9.35,"Adult"
"1","2","male",0,0,10.5,"Adult"
"0","3","male",0,0,7.25,"Adult"
"0","2","male",0,0,13,"Teen"
"1","1","female",1,0,83.475,"Adult"
"0","3","male",0,0,7.775,"Adult"
"0","2","male",0,0,13.5,"Adult"
"1","3","female",4,2,31.3875,"Child"
"0","2","male",0,0,10.5,"Adult"
"0","2","male",1,0,26,"Adult"
"1","2","female",0,2,26.25,"Child"
"0","2","male",0,0,10.5,"Adult"
"0","2","male",0,0,12.275,"Adult"
"0","2","male",0,0,10.5,"Adult"
"0","3","male",0,0,7.125,"Adult"
"0","3","male",0,0,7.225,"Adult"
"0","1","male",2,0,90,"Adult"
"0","3","female",0,0,7.775,"Adult"
"1","2","female",0,2,14.5,"Adult"
"1","1","male",1,1,52.5542,"Adult"
"0","2","male",1,0,26,"Adult"
"0","3","female",1,1,10.4625,"Adult"
"0","1","male",0,0,26.55,"Senior"
"0","3","male",1,0,16.1,"Adult"
"0","3","female",0,2,20.2125,"Adult"
"1","3","female",0,2,15.2458,"Adult"
"1","1","female",0,0,86.5,"Adult"
"1","1","female",0,0,512.3292,"Adult"
"1","2","female",0,1,26,"Adult"
"1","3","male",4,2,31.3875,"Child"
"0","1","male",1,1,79.65,"Adult"
"0","1","male",0,0,0,"Adult"
"0","2","male",0,0,10.5,"Adult"
"0","3","male",4,1,39.6875,"Teen"
"1","3","male",1,0,7.775,"Adult"
"1","1","female",0,1,153.4625,"Adult"
"1","1","female",0,0,135.6333,"Adult"
"1","3","male",0,0,0,"Adult"
"1","2","female",0,1,19.5,"Adult"
"0","1","male",0,1,29.7,"Adult"
"1","1","female",1,0,77.9583,"Senior"
"0","3","female",0,0,7.75,"Adult"
"0","3","male",4,1,29.125,"Child"
"1","3","female",1,1,20.25,"Adult"
"0","3","male",0,0,7.75,"Senior"
"0","3","male",0,0,7.8542,"Adult"
"0","3","male",0,0,9.5,"Teen"
"1","3","male",0,0,8.05,"Adult"
"0","3","male",0,0,8.6625,"Adult"
"1","3","male",0,0,9.5,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","2","male",0,0,13,"Adult"
"1","3","female",0,0,7.75,"Adult"
"1","1","female",0,0,78.85,"Adult"
"1","1","female",1,0,91.0792,"Adult"
"0","2","male",0,0,12.875,"Adult"
"0","3","female",0,0,8.85,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","3","male",0,0,7.2292,"Adult"
"0","1","female",1,2,151.55,"Child"
"1","1","female",0,1,247.5208,"Adult"
"0","3","male",0,0,0,"Adult"
"1","1","male",1,2,151.55,"Child"
"1","1","female",1,0,108.9,"Teen"
"0","2","male",1,0,24,"Adult"
"1","1","female",0,0,56.9292,"Adult"
"1","1","female",0,0,83.1583,"Adult"
"1","1","female",2,2,262.375,"Teen"
"0","2","female",1,1,26,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","2","male",1,1,26.25,"Adult"
"1","3","female",0,0,7.8542,"Adult"
"1","2","female",1,0,26,"Adult"
"0","2","male",0,0,14,"Adult"
"1","1","female",0,2,164.8667,"Adult"
"1","1","female",1,1,134.5,"Adult"
"0","3","male",0,0,7.25,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","2","female",0,0,12.35,"Adult"
"1","2","female",1,1,29,"Adult"
"1","1","female",0,0,135.6333,"Adult"
"0","3","male",0,0,6.2375,"Senior"
"1","2","female",0,0,13,"Adult"
"1","3","female",1,1,20.525,"Adult"
"1","1","female",0,1,57.9792,"Teen"
"0","1","male",0,0,28.5,"Adult"
"0","1","male",0,1,153.4625,"Adult"
"0","3","male",2,0,18,"Teen"
"0","1","male",1,0,66.6,"Adult"
"1","1","female",0,0,134.5,"Adult"
"1","3","male",0,0,8.05,"Adult"
"0","1","male",0,0,35.5,"Adult"
"1","2","male",1,1,26,"Child"
"1","1","female",3,2,263,"Adult"
"0","2","male",0,0,13,"Adult"
"0","2","male",0,0,13,"Adult"
"0","2","male",0,0,13,"Adult"
"1","2","female",0,0,13,"Adult"
"1","2","female",0,0,13,"Adult"
"1","3","male",1,1,15.9,"Child"
"0","3","male",0,0,8.6625,"Adult"
"0","3","male",0,0,9.225,"Adult"
"0","3","male",1,1,7.2292,"Teen"
"0","3","male",1,0,17.8,"Adult"
"0","3","male",0,0,9.5,"Adult"
"1","1","female",0,1,55,"Adult"
"0","2","female",0,0,13,"Adult"
"0","3","male",1,4,27.9,"Adult"
"0","2","male",1,0,27.7208,"Adult"
"0","3","female",0,1,14.4542,"Adult"
"0","3","male",0,0,7.05,"Adult"
"0","3","male",0,0,7.25,"Adult"
"1","1","female",1,0,75.25,"Adult"
"1","1","female",0,0,69.3,"Adult"
"1","1","male",1,0,55.4417,"Adult"
"0","3","male",1,0,6.4958,"Teen"
"0","3","male",0,0,8.05,"Adult"
"0","1","male",0,0,135.6333,"Adult"
"0","3","female",3,1,21.075,"Child"
"1","3","female",0,0,7.25,"Adult"
"0","1","male",0,2,211.5,"Adult"
"0","3","male",0,0,4.0125,"Adult"
"0","3","male",0,0,7.775,"Adult"
"1","1","female",0,0,227.525,"Adult"
"1","3","female",0,2,15.7417,"Child"
"0","3","male",0,0,7.925,"Adult"
"1","1","female",1,0,52,"Adult"
"0","2","male",0,0,73.5,"Teen"
"0","3","male",5,2,46.9,"Child"
"1","2","female",0,0,13,"Adult"
"1","2","female",0,0,12,"Teen"
"1","1","male",1,2,120,"Adult"
"1","3","male",0,0,7.7958,"Adult"
"0","3","male",2,0,7.925,"Adult"
"1","1","female",1,0,113.275,"Adult"
"1","3","female",0,2,16.7,"Adult"
"0","3","male",0,0,7.7958,"Adult"
"0","3","female",0,0,7.8542,"Adult"
"0","2","male",0,0,26,"Adult"
"0","2","male",0,0,10.5,"Adult"
"1","2","female",0,0,12.65,"Adult"
"1","3","male",0,0,7.925,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","female",1,0,9.825,"Adult"
"0","3","male",1,0,15.85,"Adult"
"0","3","female",0,0,8.6625,"Adult"
"0","2","male",1,0,21,"Adult"
"0","3","male",0,0,7.75,"Adult"
"1","2","male",1,1,18.75,"Child"
"0","3","male",0,0,7.775,"Adult"
"1","1","female",1,0,90,"Adult"
"1","3","male",0,0,7.925,"Adult"
"1","2","female",1,1,32.5,"Adult"
"1","2","female",0,2,13,"Teen"
"0","2","male",0,0,13,"Adult"
"0","3","female",0,2,24.15,"Child"
"0","3","male",0,0,7.7333,"Adult"
"0","3","male",0,0,7.875,"Adult"
"0","3","female",1,1,14.4,"Adult"
"0","3","male",1,1,20.2125,"Teen"
"1","2","female",1,0,26,"Adult"
"1","2","female",0,0,26,"Adult"
"1","3","male",0,0,8.05,"Adult"
"1","1","male",0,0,26.55,"Adult"
"1","2","female",1,0,26,"Adult"
"0","3","male",0,0,7.125,"Teen"
"0","1","male",1,0,55.9,"Adult"
"1","1","female",1,2,120,"Teen"
"0","3","female",2,2,34.375,"Adult"
"1","2","female",2,3,18.75,"Adult"
"0","1","male",1,4,263,"Senior"
"0","2","male",0,0,10.5,"Adult"
"1","2","female",1,1,26.25,"Adult"
"0","3","male",0,0,9.5,"Adult"
"0","3","male",1,0,7.775,"Adult"
