"Survived","Pclass","Sex","SibSp","Parch","Fare","AgeGroup"
"1","2","female",0,0,13,"Adult"
"1","1","male",0,2,81.8583,"Child"
"1","2","female",0,1,19.5,"Teen"
"1","1","male",0,0,26.55,"Adult"
"1","3","female",2,1,19.2583,"Child"
"1","1","male",0,0,30.5,"Adult"
"0","2","male",1,2,27.75,"Adult"
"0","1","male",0,0,27.75,"Adult"
"1","1","male",1,0,89.1042,"Adult"
"1","3","male",0,0,7.8958,"Adult"
"0","1","male",0,0,26.55,"Senior"
"1","2","female",0,0,10.5,"Adult"
"1","1","male",0,0,26.55,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","1","male",0,0,38.5,"Adult"
"0","2","male",0,0,13,"Adult"
"0","3","male",0,0,7.05,"Adult"
"0","1","male",0,0,26.55,"Adult"
"1","3","female",2,1,19.2583,"Child"
"0","3","male",0,0,8.6625,"Adult"
"1","2","female",1,2,27.75,"Adult"
"1","2","female",0,0,13.7917,"Adult"
"0","3","female",0,0,9.8375,"Adult"
"0","2","male",1,0,21,"Adult"
"0","3","male",1,0,7.0458,"Adult"
"0","3","male",0,0,7.5208,"Adult"
"1","3","female",0,1,12.2875,"Child"
"0","3","male",5,2,46.9,"Child"
"0","3","male",0,0,8.05,"Adult"
"1","3","female",0,0,9.5875,"Senior"
"1","1","male",1,0,91.0792,"Adult"
"1","1","female",1,0,90,"Adult"
"0","1","male",0,0,29.7,"Adult"
"0","3","male",0,0,8.05,"Adult"
"1","3","male",1,1,15.9,"Child"
"0","3","male",0,0,7.25,"Adult"
"0","1","male",0,0,30.5,"Adult"
"0","1","male",0,0,49.5042,"Senior"
"0","3","male",0,0,8.05,"Adult"
"1","1","female",1,0,78.2667,"Adult"
"0","1","female",1,2,151.55,"Adult"
"0","3","male",0,0,7.7958,"Adult"
"0","3","male",0,0,8.6625,"Teen"
"0","3","female",0,0,7.75,"Adult"
"0","3","female",0,0,9.5875,"Adult"
"1","1","female",0,0,86.5,"Teen"
"0","1","male",1,0,108.9,"Teen"
"1","2","female",0,2,26,"Adult"
"0","3","male",0,0,22.525,"Adult"
"1","3","male",0,0,56.4958,"Adult"
"1","3","male",0,0,7.75,"Adult"
"1","1","male",0,0,26.2875,"Adult"
"1","1","female",1,0,59.4,"Adult"
"0","3","male",0,0,7.4958,"Adult"
"0","1","male",0,0,34.0208,"Adult"
"1","2","female",0,0,10.5,"Adult"
"1","2","female",1,0,26,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","1","female",0,0,93.5,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","1","female",0,1,57.9792,"Adult"
"0","3","male",0,0,7.75,"Adult"
"1","2","female",0,0,10.5,"Adult"
"0","3","male",0,0,7.925,"Adult"
"0","2","male",2,1,11.5,"Adult"
"1","2","female",1,1,26,"Child"
"0","3","male",1,1,7.2292,"Teen"
"0","3","female",0,0,8.6625,"Adult"
"1","2","female",0,2,26.25,"Child"
"0","1","male",0,0,26.55,"Adult"
"1","1","female",0,0,106.425,"Adult"
"1","1","female",0,2,49.5,"Adult"
"1","1","female",0,2,71,"Adult"
"0","3","female",4,2,31.275,"Child"
"0","3","female",4,2,31.275,"Child"
"1","2","male",1,0,26,"Adult"
"0","1","male",1,0,106.425,"Adult"
"0","1","male",0,0,26,"Senior"
"1","2","female",1,0,26,"Adult"
"0","3","male",1,1,20.525,"Adult"
"1","2","male",1,1,36.75,"Child"
"1","1","male",0,2,110.8833,"Teen"
"0","2","male",0,0,26,"Adult"
"1","3","male",0,0,7.225,"Adult"
"1","3","female",0,0,7.775,"Adult"
"0","1","male",0,0,26.55,"Senior"
"1","1","female",1,0,39.6,"Adult"
"1","1","female",1,1,79.65,"Adult"
"1","3","female",1,0,17.4,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","2","male",0,0,13.5,"Adult"
"0","3","male",2,0,24.15,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","3","female",0,4,21.075,"Adult"
"1","3","male",0,0,7.8542,"Adult"
"1","2","male",0,0,10.5,"Senior"
"1","1","female",2,0,51.4792,"Adult"
"1","1","male",0,0,26.3875,"Adult"
"0","3","male",0,0,8.05,"Teen"
"0","3","male",0,0,14.5,"Adult"
"1","2","female",0,0,13,"Adult"
"1","1","female",1,0,55.9,"Adult"
"1","3","male",0,0,7.925,"Adult"
"1","2","female",1,1,30,"Adult"
"1","1","female",1,1,110.8833,"Adult"
"0","2","male",0,0,26,"Adult"
"0","1","male",0,0,40.125,"Adult"
"1","1","female",0,2,79.65,"Teen"
"0","2","male",0,0,15,"Adult"
"1","1","male",1,1,79.2,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","3","male",0,0,7.125,"Adult"
"1","1","female",1,0,78.2667,"Adult"
"0","3","male",0,0,7.25,"Adult"
"0","2","male",1,0,26,"Adult"
"0","3","male",1,1,24.15,"Adult"
"0","3","male",0,0,0,"Adult"
"1","1","male",1,0,56.9292,"Adult"
"1","2","female",2,1,27,"Adult"
"0","3","male",0,0,8.05,"Adult"
"1","1","male",0,0,26.55,"Adult"
"0","3","male",1,0,15.55,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","1","male",0,0,30.5,"Adult"
"1","2","female",1,2,41.5792,"Adult"
"1","1","female",0,0,153.4625,"Adult"
"0","3","female",1,5,31.275,"Adult"
"0","3","male",0,0,8.05,"Adult"
"1","2","female",1,2,65,"Adult"
"0","3","male",1,1,14.4,"Adult"
"0","3","female",1,0,16.1,"Adult"
"1","2","female",2,1,39,"Child"
"0","2","male",0,0,10.5,"Adult"
"0","3","male",1,0,14.4542,"Adult"
"1","1","male",1,0,52.5542,"Adult"
"1","3","male",1,1,15.7417,"Adult"
"0","3","male",0,0,7.8542,"Adult"
"0","3","male",0,0,16.1,"Adult"
"0","1","male",0,0,32.3208,"Senior"
"0","2","male",0,0,12.35,"Adult"
"1","1","female",0,0,77.9583,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","1","male",0,0,30,"Senior"
"0","3","male",0,0,7.0542,"Adult"
"1","1","male",0,0,30.5,"Adult"
"0","3","female",3,2,27.9,"Child"
"1","2","female",0,0,13,"Adult"
"0","3","male",0,0,7.925,"Adult"
"0","2","male",1,1,26.25,"Adult"
"0","3","female",0,5,39.6875,"Adult"
"0","3","male",0,0,7.8542,"Adult"
"1","1","female",0,0,69.3,"Adult"
"0","3","female",3,2,27.9,"Child"
"1","3","female",2,1,19.2583,"Child"
"1","1","male",1,0,76.7292,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","1","male",0,0,35.5,"Adult"
"1","3","female",0,0,7.55,"Adult"
"1","2","female",0,1,23,"Teen"
"0","3","male",0,0,8.4333,"Adult"
"0","3","female",0,0,6.75,"Teen"
"0","2","male",2,0,73.5,"Adult"
"0","3","female",1,1,15.5,"Adult"
"0","2","male",0,0,13,"Adult"
"0","1","male",0,2,113.275,"Adult"
"1","1","male",2,0,133.65,"Adult"
"0","3","male",0,0,7.225,"Adult"
"0","1","male",0,0,25.5875,"Adult"
"0","3","male",0,0,7.4958,"Adult"
"1","3","male",1,0,7.925,"Adult"
"0","2","male",2,0,73.5,"Adult"
"0","2","male",0,0,13,"Adult"
"0","3","male",0,0,8.05,"Adult"
"1","2","female",1,1,39,"Adult"
"0","1","male",1,0,52,"Adult"
"0","2","male",0,0,10.5,"Senior"
"1","2","male",0,0,13,"Adult"
"0","3","male",0,0,7.775,"Teen"
"0","3","male",0,0,8.05,"Adult"
"1","3","female",0,0,9.8417,"Teen"
"0","3","female",1,6,46.9,"Adult"
"1","1","male",0,1,512.3292,"Adult"
"1","1","male",0,0,76.7292,"Adult"
"0","3","male",0,0,9.225,"Adult"
"0","3","male",5,2,46.9,"Teen"
"0","2","male",1,1,39,"Adult"
"0","2","male",1,2,41.5792,"Adult"
"0","3","male",4,1,39.6875,"Teen"
"0","3","male",0,0,10.1708,"Adult"
"0","3","male",0,0,7.7958,"Teen"
"1","1","female",0,1,211.3375,"Teen"
"1","1","male",1,0,57,"Adult"
"1","3","female",0,1,13.4167,"Child"
"0","3","male",0,0,7.225,"Adult"
"0","1","male",0,0,26.55,"Adult"
"0","2","male",0,0,13.5,"Adult"
"0","3","male",0,0,8.05,"Adult"
"0","1","male",1,1,110.8833,"Adult"
"0","3","male",0,0,7.65,"Adult"
"1","1","female",1,0,227.525,"Teen"
"1","1","male",0,0,26.2875,"Adult"
"0","3","female",0,1,14.4542,"Teen"
"0","3","male",0,0,7.7417,"Adult"
"0","3","male",1,0,7.8542,"Adult"
"0","2","male",0,0,26,"Adult"
"1","2","female",0,0,13.5,"Adult"
"1","1","male",0,0,26.2875,"Adult"
"1","1","female",0,0,151.55,"Adult"
"1","1","female",0,0,49.5042,"Adult"
"1","1","male",1,0,52,"Adult"
"0","3","male",0,0,9.4833,"Adult"
"0","2","male",0,0,13,"Adult"
"0","3","male",0,0,7.65,"Adult"
"1","1","female",0,0,227.525,"Adult"
"1","2","female",0,0,10.5,"Adult"
"0","3","male",0,0,7.775,"Adult"
"1","2","female",0,1,33,"Child"
"0","3","male",1,0,7.0542,"Teen"
"0","2","male",0,0,13,"Adult"
"0","2","male",0,0,13,"Adult"
"1","1","male",1,0,53.1,"Adult"
"0","3","male",0,0,8.6625,"Adult"
"1","2","female",3,0,21,"Adult"
"0","2","male",1,0,26,"Adult"
"0","3","female",1,0,7.925,"Adult"
"1","1","female",0,0,211.3375,"Adult"
"0","3","male",0,0,18.7875,"Child"
"0","2","male",0,0,13,"Adult"
"0","2","male",0,0,13,"Adult"
"0","3","male",0,0,16.1,"Adult"
"0","3","female",1,3,34.375,"Adult"
"1","1","male",0,0,512.3292,"Adult"
"0","1","male",1,0,78.85,"Adult"
"1","1","female",2,2,262.375,"Adult"
"0","3","male",1,0,16.1,"Adult"
"1","3","male",0,0,7.925,"Adult"
"0","1","male",1,1,71,"Senior"
"0","3","male",1,1,20.25,"Teen"
"1","2","female",0,0,13,"Adult"
"0","1","male",1,0,53.1,"Adult"
"0","3","male",0,0,7.75,"Adult"
"1","2","female",1,1,23,"Child"
"1","3","male",0,1,12.475,"Child"
"0","3","male",0,0,9.5,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","2","female",1,2,65,"Adult"
"1","2","male",1,1,14.5,"Child"
"0","3","male",0,0,7.7958,"Adult"
"0","2","male",0,0,11.5,"Teen"
"0","3","male",0,0,8.05,"Adult"
"1","1","female",0,0,86.5,"Adult"
"0","3","male",0,0,7.125,"Adult"
"1","3","male",0,0,7.2292,"Adult"
"1","1","female",1,2,120,"Adult"
"0","3","male",0,0,7.775,"Teen"
"1","1","female",1,0,77.9583,"Adult"
"0","3","female",0,0,7.75,"Adult"
"0","3","male",0,0,8.3625,"Adult"
"0","3","male",0,0,9.5,"Adult"
"0","3","male",0,0,7.8542,"Adult"
"0","2","female",0,0,10.5,"Adult"
"1","2","female",1,3,23,"Adult"
"0","3","male",0,0,7.75,"Teen"
"1","3","female",0,0,12.475,"Child"
"1","1","female",0,1,211.3375,"Adult"
"1","3","female",0,0,7.2292,"Teen"
"1","1","female",1,0,57,"Teen"
"0","1","male",0,0,30,"Adult"
"0","3","male",0,0,7.05,"Adult"
"0","3","male",0,0,7.25,"Adult"
"1","3","female",0,0,7.4958,"Teen"
"0","3","male",4,1,29.125,"Child"
"1","3","male",1,2,20.575,"Child"
"0","1","male",0,0,79.2,"Adult"
"0","2","male",0,0,26,"Teen"
"0","3","male",0,0,7.8958,"Adult"
"0","2","male",0,0,13,"Adult"
"1","1","female",0,0,25.9292,"Adult"
"1","3","female",0,0,8.6833,"Adult"
"0","3","male",0,0,7.2292,"Adult"
"0","3","female",1,1,24.15,"Adult"
"0","2","male",0,0,13,"Adult"
"1","2","female",1,1,26.25,"Adult"
"1","1","male",1,2,120,"Child"
"1","3","male",0,1,8.5167,"Child"
"1","3","male",0,0,6.975,"Adult"
"0","3","male",0,0,7.775,"Adult"
"0","1","male",0,0,0,"Adult"
"0","3","female",0,0,7.775,"Teen"
"0","2","male",0,0,13,"Adult"
"1","1","female",1,0,53.1,"Adult"
"0","3","male",0,0,7.8875,"Adult"
"0","3","male",0,0,24.15,"Adult"
"0","2","male",0,0,10.5,"Adult"
"0","3","female",4,2,31.275,"Child"
"0","3","male",0,0,8.05,"Adult"
"0","3","female",0,0,7.925,"Adult"
"0","2","male",1,1,37.0042,"Adult"
"0","3","male",0,0,6.45,"Adult"
"0","3","male",3,2,27.9,"Child"
"1","1","female",1,1,93.5,"Adult"
"1","3","male",0,0,8.6625,"Adult"
"0","1","male",0,0,0,"Adult"
"1","3","female",0,1,12.475,"Adult"
"0","3","male",4,1,39.6875,"Child"
"1","2","male",0,2,37.0042,"Child"
"1","1","female",0,0,80,"Senior"
"1","3","female",1,0,14.4542,"Teen"
"1","2","male",1,1,18.75,"Child"
"0","3","male",0,0,7.8542,"Adult"
"0","3","male",0,0,8.3,"Teen"
"1","1","female",1,1,83.1583,"Adult"
"0","3","male",0,0,8.6625,"Adult"
"1","3","male",0,0,56.4958,"Adult"
"0","3","male",0,0,7.925,"Adult"
"0","2","male",0,0,10.5,"Teen"
"1","1","female",0,0,31,"Adult"
"0","3","male",0,0,6.4375,"Adult"
"0","3","male",0,0,8.6625,"Teen"
"0","3","male",0,0,7.55,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","2","male",0,1,33,"Adult"
"0","3","male",4,2,31.275,"Child"
"0","3","male",0,0,7.775,"Senior"
"0","3","female",1,1,15.2458,"Child"
"1","1","female",0,1,39.4,"Teen"
"0","2","female",1,0,26,"Adult"
"1","3","female",0,1,9.35,"Teen"
"1","1","female",1,1,164.8667,"Adult"
"1","1","male",0,0,26.55,"Adult"
"1","3","female",0,3,19.2583,"Adult"
"0","3","male",2,0,14.1083,"Adult"
"0","2","male",1,0,11.5,"Adult"
"1","1","female",0,0,25.9292,"Adult"
"0","2","male",0,0,13,"Adult"
"1","2","female",0,0,13,"Adult"
"1","2","female",1,0,13.8583,"Adult"
"0","1","male",0,0,50.4958,"Adult"
"1","3","male",1,1,11.1333,"Child"
"0","3","male",0,0,7.8958,"Adult"
"1","1","female",1,1,52.5542,"Adult"
"0","1","male",0,0,5,"Adult"
"0","3","male",0,0,9,"Adult"
"1","2","female",1,0,24,"Adult"
"1","3","female",0,0,7.225,"Teen"
"0","3","male",0,0,9.8458,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"1","1","female",0,1,83.1583,"Adult"
"1","2","female",0,1,26,"Adult"
"0","3","male",0,0,7.8958,"Adult"
"0","3","female",0,0,10.5167,"Adult"
"0","2","male",0,0,10.5,"Adult"
"0","3","male",0,0,7.05,"Adult"
"0","3","female",0,5,29.125,"Adult"
"0","2","male",0,0,13,"Adult"
"1","1","female",0,0,30,"Adult"
"1","1","male",0,0,30,"Adult"
"0","3","male",0,0,7.75,"Adult"
